longitude,latitude,date,name
95.1645,28.1193,2013-02-18,East
93.3729,25.1019,2015-11-08,Tousem
88.559,27.3773,2010-07-21,Singtam
94.8133,26.2363,2010-06-07,Tuensang
94.1051,25.6278,2015-08-19,Phesama
92.71419,23.74183,2010-09-13,Hunthar
91.7174,23.0137,2014-08-14,Sabroom
88.7628,27.3765,2013-06-27,Near
94.9152,26.222,2010-08-14,Noklak
94.5163,26.0137,2013-04-08,Zunheboto
91.7645,26.1407,2014-06-26,Narakasur
93.117,24.808,2011-06-09,NH
90.215,25.5114,2015-06-16,Nakham
94.7861,25.8877,2010-06-07,Kiphire
94.1072,25.6623,2010-10-10,Lower
91.3681,25.9611,2016-07-07,Kamrup
93.9161,24.7339,2010-03-27,LangthAbal
91.7665,26.1978,2010-04-20,Raj
94.3551,24.819,2015-07-31,Phungyar
92.2121,25.463,2015-06-13,Ratacherra
94.4759,24.9111,2015-01-08,between
95.2253,27.8458,2012-09-19,Arunachal
91.7599,23.8986,2010-03-06,atharamura
93.8673,25.5265,2010-09-10,NH
91.8717,26.1062,2015-07-25,nan
94.1399,25.4788,2010-09-10,NH
90.0896,25.5006,2014-10-20,South
91.7138,26.1662,2013-11-05,Nursery
94.5234,25.8376,2013-04-08,Tizu
94.4619,26.0481,2013-04-08,Phizo
91.8342,26.1324,2014-09-22,Batahghuli
88.6458,27.1748,2012-07-06,Rolep
94.7844,25.8702,2016-07-28,Government
94.5224,26.0214,2015-08-19,Zunheboto
93.4251,24.7459,2015-11-08,Nungba
92.3825,25.2568,2015-08-19,National
96.9262,27.8835,2015-08-16,Hawai
96.5316,28.0822,2016-01-05,Anjaw
91.7056,26.1295,2014-09-22,Dhirenpara
88.3652,27.167,2010-08-20,many
94.1211,25.5718,2010-08-21,NH
94.5497,26.1807,2013-04-08,Zhekuto
88.7648,27.3746,2009-08-26,th
91.8074,26.1963,2016-07-14,Noonmati
94.4703,25.6633,2010-08-10,Phek
88.42281,26.99196,2011-07-17,West
91.8178,26.159,2014-09-22,VIP
91.25,26.3333,2008-10-29,Kamrup
95.029,26.72,2013-01-07,Wokha
94.108,25.4192,2011-07-29,Maram
88.7323,27.3736,2013-07-09,Milestone
93.123,25.1718,2009-08-27,between
94.6024,25.426,2013-10-13,Tusom
94.5238,26.0093,2010-06-07,Zunheboto
93.7525,27.1614,2013-02-09,Arunachal
91.6739,26.1868,2015-01-09,Maligaon
94.23412,25.51615,2011-06-21,Phek
93.0038,26.5836,2011-07-24,NH
93.9667,25.1333,2007-08-31,Velnal
91.8506,25.5576,2007-08-26,National
94.3415,25.0634,2015-07-31,Naga
