longitude,latitude,date,name
94.254289,26.096249,06-08-2021,Police Point landslide
94.246956,26.091211,06-08-2021,Airfield colony landslide
94.221938,26.208542,05-08-2021,Sanis Doyarig_landslide
93.940678,25.766187,10-05-2021,Piphema landslide
94.863047,25.7623,17-08-2021,Pungro-Mimi landslide
94.686755,25.603106,14-07-2021,Phek landslide
94.409427,25.659725,31-07-2021,Pfutsero-Khomi-Phek landslide
94.402948,25.723469,31-07-2021,Pfutsero-Lanye Landslide
95.061502,26.250081,08-11-2021,Wensoi Landslide
94.939423,26.232589,09-09-2021,Chedang Saddle Landslide
88.614992,27.250224,24-08-2021,Samsing Shanti Turn Landslide
88.152087,27.1624,24-08-2021,Muneew Tareybhir Landslide
88.45744,27.090965,29-07-2021,Melli Secondary School Landslide
88.456816,27.090724,30-07-2021,Melli Bazaar Landslide
88.531935,27.142902,30-07-2021,Mamkhola Landslide
88.466754,27.10871,30-07-2021,Melli 2 Landslide
88.325929,27.111336,30-07-2021,Melli Jorethang_landslide
88.609439,27.32459,20-10-2021,Pani House Landslide
88.464695,27.09117,18-06-2021,Bhalukhola landslide
88.728341,27.376583,25-03-2021,Kyonsola waterfall landslide
88.597286,27.255462,08-08-2021,Basilakha landslide
88.487805,27.366542,31-07-2021,Seley Ward landslide
88.441413,26.939387,31-07-2021,Seti Jhora Landslide
88.280411,27.146369,30-07-2021,Sisney Landslide
88.307456,27.221268,27-08-2021,Jorethang-Legship Landslide
88.61023,27.326815,01-06-2021,Seesa Golai Landslide
88.608275,27.343272,09-06-2021,Tashi Namgyal Secondary School Landslide
88.158235,27.276428,29-08-2021,Bongten-Changay Landslide
91.480725,23.2463,26-08-2021,Sarsima Landiside
91.494288,23.228158,26-08-2021,Jharjhari landslide
92.3835,25.300713,2022-04-13,Byndihati-Umtyra_Road_Creep
92.386284,25.299032,2022-04-13,Byndihati-Umtyra_1
92.38648,25.298933,2022-04-13,Byndihati-Umtyra_2
92.386894,25.29857,2022-04-13,Byndihati-Umtyra_3
92.386955,25.29842,2022-04-13,Byndihati-Umtyra_4
92.386986,25.298416,2022-04-13,Byndihati-Umtyra_5
92.386986,25.298306,2022-04-13,Byndihati-Umtyra_6
92.38725,25.297895,2022-04-13,Byndihati-Umtyra_7
92.38736,25.297684,2022-04-13,Byndihati-Umtyra_8
